x0,x1,x2,y,x3,x4,x5,x6,x7
A0,A5,A0,105,4,0.67,1,11,430.7142857142857
A0,A0,A0,99,25,0.46,1,0,312.7142857142857
A0,A6,A0,125,2,3.57,1,185,431.85714285714283
A2,A3,A0,185,3,2.0,3,258,430.14285714285717
A1,A60,A1,45,1,1.37,1,0,394.7142857142857
A0,A39,A1,525,1,0.99,8,189,391.7142857142857
A0,A5,A0,130,2,0.59,1,0,405.14285714285717
A2,A35,A0,175,2,0.03,1,0,283.85714285714283
A0,A5,A0,120,2,0.93,1,6,405.14285714285717
A0,A5,A0,149,7,,2,5,
A1,A86,A1,62,1,3.92,2,234,430.7142857142857
A0,A38,A0,88,5,0.08,1,0,324.85714285714283
A2,A41,A1,107,6,0.47,2,251,405.42857142857144
A0,A43,A1,35,10,,1,329,
A1,A52,A0,189,1,,1,0,
A2,A3,A0,165,3,0.96,1,0,419.0
A2,A17,A0,182,30,3.88,2,12,431.7142857142857
A0,A0,A0,100,28,,1,0,
A2,A3,A1,65,2,2.07,1,72,431.14285714285717
A2,A17,A0,229,2,,1,10,
A2,A23,A0,300,7,0.21,1,0,393.0
A2,A3,A0,150,3,2.31,1,25,425.14285714285717
A0,A38,A0,195,3,0.19,1,0,410.0
,A46,A1,49,2,1.55,5,0,430.14285714285717
A1,A28,A0,450,4,,1,365,
A0,A0,A0,250,3,0.49,1,3,422.85714285714283
A2,A10,A1,389,3,0.13,4,357,337.42857142857144
A0,A0,A1,63,7,0.02,1,0,249.14285714285714
A0,A5,A1,70,2,,1,0,
A3,A87,A0,105,2,2.13,1,328,430.85714285714283
A3,A88,A1,79,1,0.16,1,179,393.0
A0,A22,A0,185,3,0.91,1,0,375.2857142857143
A1,A75,A0,300,1,3.27,1,319,431.85714285714283
,A32,A0,195,30,,50,364,
A2,A10,A0,189,2,4.72,1,206,429.2857142857143
A2,A36,A1,35,1,0.02,1,0,225.28571428571428
A2,A13,A1,55,2,0.81,2,0,430.7142857142857
A2,A45,A1,90,1,0.09,1,0,269.7142857142857
A2,A13,A0,434,5,0.05,1,0,353.2857142857143
A0,A6,A0,135,3,1.96,1,117,428.85714285714283
A2,A23,A2,80,1,5.82,5,22,430.0
A2,A3,A1,141,1,1.61,1,334,426.0
A2,A23,A0,200,30,0.07,15,336,370.0
A0,A51,A1,50,2,2.0,1,77,431.0
A2,A2,A1,105,3,1.79,1,288,430.0
A3,A89,A1,40,30,0.44,6,343,429.7142857142857
A0,A5,A1,45,10,0.62,1,29,413.85714285714283
A2,A23,A1,145,1,4.09,1,287,430.85714285714283
A0,A12,A1,80,1,5.18,2,0,431.14285714285717
